CUIs,clinvar_trait
Cumapped115,joubert syndrome 39
Cumapped134,"muscular dystrophy, limb-girdle, autosomal recessive 27"
CL1783739,developmental delay with or without intellectual impairment or behavioral abnormalities
Cumapped116,joubert syndrome 40
CL1783742,"cerebellar ataxia, brain abnormalities, and cardiac conduction defects"
CL1783743,neurodevelopmental disorder with impaired language and ataxia and with or without seizures
Cumapped339,"usmani-riazuddin syndrome, autosomal dominant"
Cumapped346,viss syndrome
Cumapped157,neurodevelopmental disorder with hypotonia and dysmorphic facies
Cumapped156,neurodevelopmental disorder with hypotonia and brain abnormalities
CL1783773,chopra-amiel-gordon syndrome
CL1783776,"developmental delay, impaired speech, and behavioral abnormalities"
CL1783836,"intellectual developmental disorder, x-linked, syndromic, with pigmentary mosaicism and coarse facies"
CL1783855,"ceroid lipofuscinosis, neuronal, 6b (kufs type)"
CL1783856,interstitial lung disease 2
CL1784242,developmental delay with variable neurologic and brain abnormalities
CL1784247,"congenital disorder of glycosylation, type iw, autosomal dominant"
CL1784323,"dyskinesia with orofacial involvement, autosomal dominant"
Cumapped292,"spastic paraplegia 85, autosomal recessive"
CL1784339,dystonia 33
CL1784344,"neurodevelopmental disorder, nonprogressive, with spasticity and transient opisthotonus"
Cumapped177,non-progressive neurodevelopmental disorder with spasticity and transient opisthotonus
CL1785209,undetermined early-onset epileptic encephalopathy
CL1794891,colobomatous optic disc-macular atrophy-chorioretinopathy syndrome
CL1794941,combined immunodeficiency due to dock8 deficiency
Cumapped18,atrial conduction disease
Cumapped198,periodic fever-infantile enterocolitis-autoinflammatory syndrome
CL1795935,multiple mitochondrial dysfunctions syndrome 2
Cumapped224,progressive myoclonic epilepsy type 7
CL1796264,congenital ichthyosis-intellectual disability-spastic quadriplegia syndrome
Cumapped226,progressive scapulohumeroperoneal distal myopathy
Cumapped191,optic atrophy-ataxia-peripheral neuropathy-global developmental delay syndrome
CL1797257,autosomal dominant mitochondrial myopathy with exercise intolerance
Cumapped19,autoimmune interstitial lung disease-arthritis syndrome
CL1797370,combined oxidative phosphorylation defect type 24
Cumapped263,severe combined immunodeficiency due to coro1a deficiency
Cumapped208,polyglucosan body myopathy type 2
CL1797473,"blepharophimosis - intellectual disability syndrome, mkb type"
CL1797700,distal hereditary motor neuropathy type 2
Cumapped85,hereditary pheochromocytoma-paraganglioma
CL1898968,elevated circulating creatine kinase concentration
CL1899191,"epidermolysis bullosa, junctional 5a, intermediate"
Cumapped248,restrictive dermopathy 2
Cumapped318,tessadori-van haaften neurodevelopmental syndrome 1
Cumapped118,kury-isidor syndrome
CL1899248,"agammaglobulinemia 10, autosomal dominant"
CL1899252,bryant-li-bhoj neurodevelopmental syndrome 2
Cumapped103,inclusion body myopathy and brain white matter abnormalities
CL1899265,"parkinsonism-dystonia 3, childhood-onset"
CL1899268,"intellectual developmental disorder, x-linked, syndromic, pilorge type"
CL1899277,"macrothrombocytopenia, isolated, 1, autosomal dominant"
CL1899279,immunodeficiency 104
Cumapped96,"hypoalphalipoproteinemia, primary, 2, intermediate"
CL1899800,"peripheral motor neuropathy, childhood-onset, biotin-responsive"
CL1899801,immunodeficiency 105
CL1899809,"intellectual developmental disorder, autosomal dominant 67"
Cumapped76,gata2 deficiency with susceptibility to mds/aml
CL495137,spinocerebellar ataxia type 19/22
Cumapped360,x-linked lissencephaly with abnormal genitalia
Cumapped108,intellectual disability-cataracts-calcified pinnae-myopathy syndrome
CL495864,large congenital melanocytic nevus
CL496111,x-linked complicated corpus callosum dysgenesis
Cumapped135,muscular dystrophy-dystroglycanopathy
Cumapped32,beta-thalassemia major
CL513023,autosomal recessive osteopetrosis 1
Cumapped357,x-linked intellectual disability-cerebellar hypoplasia syndrome
CL516152,congenital bile acid synthesis defect 3
CL516813,acute infantile liver failure-cerebellar ataxia-peripheral sensory motor neuropathy syndrome
CL517099,fatal mitochondrial disease due to combined oxidative phosphorylation defect type 3
Cumapped272,short stature due to primary acid-labile subunit deficiency
CL517283,developmental malformations-deafness-dystonia syndrome
CL518875,familial hyperthyroidism due to mutations in tsh receptor
Cumapped73,"familial scaphocephaly syndrome, mcgillivray type"
CL529641,syndromic x-linked intellectual disability hedera type
Cumapped313,syndromic x-linked intellectual disability nascimento type
CL536948,brachydactyly-preaxial hallux varus syndrome
CL536965,marfanoid habitus and intellectual disability
CL537219,congenital nephrotic syndrome - interstitial lung disease - epidermolysis bullosa syndrome
CL541382,brugada syndrome (shorter-than-normal qt interval)
CL545426,mirage syndrome
CL547123,leukoencephalopathy with brain stem and spinal cord involvement-high lactate syndrome
CL550942,catecholaminergic polymorphic ventricular tachycardia 2
Cumapped326,trametinib-dabrafenib response
Cumapped341,vemurafenib-cobimetinib response
Cumapped240,rare genetic deafness
CL558174,colobomatous microphthalmia-rhizomelic dysplasia syndrome
Cumapped57,congenital sideroblastic anemia-b-cell immunodeficiency-periodic fever-developmental delay syndrome
CL558841,isolated focal cortical dysplasia type ii
CL558874,autosomal recessive cerebellar ataxia-saccadic intrusion syndrome
CL588536,"aortic aneurysm, familial thoracic 10"
Cumapped178,nonsyndromic genetic hearing loss
CL602025,"hypotonia, ataxia, and delayed development syndrome"
CL602043,"epilepsy, early-onset, vitamin b6-dependent"
CL602064,"epidermolysis bullosa simplex 6, generalized, with scarring and hair loss"
CL602163,congenital myasthenic syndrome 21
CL602244,platelet-type bleeding disorder 20
Cumapped88,hydrops-lactic acidosis-sideroblastic anemia-multisystemic failure syndrome
Cumapped235,qualitative or quantitative defects of dysferlin
CL761115,"congenital heart defects, dysmorphic facial features, and intellectual developmental disorder"
CL786474,"neurodevelopmental disorder with microcephaly, ataxia, and seizures"
CL925116,amyotrophic lateral sclerosis type 23
Cumapped315,tall stature-scoliosis-macrodactyly of the great toes syndrome
Cumapped264,severe feeding difficulties-failure to thrive-microcephaly due to asxl3 deficiency syndrome
CL941997,congenital cataract-progressive muscular hypotonia-hearing loss-developmental delay syndrome
Cumapped265,severe intellectual disability-poor language-strabismus-grimacing face-long fingers syndrome
CL942378,autosomal dominant non-syndromic intellectual disability
CL942843,intellectual disability-severe speech delay-mild dysmorphism syndrome
Cumapped217,primary cd59 deficiency
Cumapped83,hereditary breast ovarian cancer syndrome
Cumapped25,autosomal dominant nocturnal frontal lobe epilepsy 1
Cumapped71,familial juvenile hyperuricemic nephropathy type 1
Cumapped295,"spinal muscular atrophy, lower extremity-predominant, 2, ad"
Cumapped163,"neurodevelopmental disorder with regression, abnormal movements, loss of speech, and seizures"
CL967494,cardiac anomalies - developmental delay - facial dysmorphism syndrome
CL967702,infantile hypotonia-oculomotor anomalies-hyperkinetic movements-developmental delay syndrome
CL967927,"mitochondrial complex 1 deficiency, nuclear type 26"
CL967956,"mitochondrial complex 1 deficiency, nuclear type 31"
CL968002,"mitochondrial complex 1 deficiency, nuclear type 21"
CL968046,"mitochondrial complex 1 deficiency, nuclear type 5"
CL973536,familial episodic pain syndrome with predominantly lower limb involvement
CL973542,foveal hypoplasia - optic nerve decussation defect - anterior segment dysgenesis syndrome
CL973547,diffuse cerebral and cerebellar atrophy - intractable seizures - progressive microcephaly syndrome
Cumapped113,isolated focal non-epidermolytic palmoplantar keratoderma
CL974372,"adult-onset proximal spinal muscular atrophy, autosomal dominant"
Cumapped165,"neurodevelopmental disorder with seizures, hypotonia, and brain imaging abnormalities"
Cumapped176,nonprogressive cerebellar atxia with intellectual disability
Cumapped44,cerebral visual impairment and intellectual disability
Cumapped260,see cases
Cumapped193,overgrowth syndrome and/or cerebral malformations due to abnormalities in mtor pathway genes
Cumapped6,aldosterone-producing adenoma with seizures and neurological abnormalities
Cumapped166,"neurodevelopmental disorder with short stature, prominent forehead, and feeding difficulties"
Cumapped98,"hypomagnesemia, seizures, and intellectual disability 2"
Cumapped111,intellectual disability-microcephaly-strabismus-behavioral abnormalities syndrome
Cumapped64,dpm3-congenital disorder of glycosylation
Cumapped129,mitochondrial myopathy-cerebellar ataxia-pigmentary retinopathy syndrome
Cumapped70,familial aortopathy
Cumapped314,tall stature-intellectual disability-facial dysmorphism syndrome
Cumapped327,tricho-oculo-dermo-vertebral syndrome
Cumapped152,"neurodegeneration, infantile-onset, biotin-responsive"
Cumapped307,syndrome of entercolitis and autoinflmmation caused by mutation of nlrc4 (scan4)
Cumapped59,d-6618
Cumapped294,spastic tetraplegia-thin corpus callosum-progressive postnatal microcephaly syndrome
Cumapped107,susceptibility to respiratory infections associated with cd8alpha chain mutation
Cumapped39,ccdc115-cdg
Cumapped173,neuropathic spinal arthropathy
Cumapped47,cholestanol storage disease
Cumapped256,schc6pf-schulz-passarge syndrome
Cumapped168,neuro-ectodermal phenotype
Cumapped104,"infantile or childhood onset neurodegenerative disease, global developmental delay, and intellectual disability"
Cumapped12,anophthalmia/microphthalmia-esophageal atresia syndrome
Cumapped302,spondylometaphyseal dysplasia-cone-rod dystrophy syndrome
Cumapped114,isolated gnrh deficiency
Cumapped4,"acyl-coa dehydrogenase deficiency, glutaric acidemia type ii"
Cumapped174,neutral 1 amino acid transport defect
Cumapped49,cognitive impairment - coarse facies - heart defects - obesity - pulmonary involvement - short stature - skeletal dysplasia syndrome
Cumapped69,epithelial-stromal tgfbi dystrophy
Cumapped106,sulfate transporter-related osteochondrodysplasia
Cumapped284,skeletal overgrowth-craniofacial dysmorphism-hyperelastic skin-white matter lesions syndrome
Cumapped133,multiple benign circumferential skin creases on limbs 1
Cumapped196,patterned dystrophy of the retinal pigment epithelium
Cumapped110,intellectual disability-macrocephaly-hypotonia-behavioral abnormalities syndrome
Cumapped101,phip-related behavioral problems-intellectual disability-obesity-dysmorphic features syndrome
Cumapped188,"optic atrophy 10 with or without ataxia, intellectual disability, and seizures"
Cumapped147,neonatal-onset encephalopathy with rigidity and seizures
Cumapped36,breast and/or ovarian cancer
Cumapped68,embryonic calcium dysregulation
Cumapped169,neuronal ceroid lipofuscinosis 8 northern epilepsy variant
Cumapped296,spinal muscular atrophy-progressive myoclonic epilepsy syndrome
Cumapped82,hartsfield-bixler-demyer syndrome
Cumapped23,autosomal dominant intellectual disability-craniofacial anomalies-cardiac defects syndrome
Cumapped67,elevated circulating alkaline phosphatase concentration
Cumapped167,neurodevelopmental disorder-craniofacial dysmorphism-cardiac defect-hip dysplasia syndrome due to a point mutation
Cumapped20,autosomal dominant childhood-onset proximal spinal muscular atrophy with contractures
Cumapped54,congenital insensitivity to pain-hypohidrosis syndrome
Cumapped125,men2 phenotype: unclassified
Cumapped5,aldh18a1 deficiency
Cumapped97,"hypomagnesemia, seizures, and intellectual disability 1"
Cumapped303,stormorken syndrome
Cumapped242,recombinase activating gene 2 deficiency
Cumapped350,white-kernohan syndrome
Cumapped184,ocular albinism with congenital sensorineural hearing loss
Cumapped63,dpagt1-congenital disorder of glycosylation
Cumapped159,"neurodevelopmental disorder with hypotonia, language delay, and skeletal defects with or without seizures"
Cumapped35,"branchial arch abnormalities, choanal atresia, athelia, hearing loss, and hypothyroidism syndrome"
Cumapped30,bailey-bloch congenital myopathy
Cumapped142,"myopathy, myofibrillar, 12, infantile-onset, with cardiomyopathy"
Cumapped99,"ichthyosis, hystrix-like, with hearing loss"
Cumapped361,x-linked mixed hearing loss with perilymphatic gusher
Cumapped48,cog6-ongenital disorder of glycosylation
Cumapped22,autosomal dominant familial hematuria-retinal arteriolar tortuosity-contractures syndrome
Cumapped233,qualitative or quantitative defects of beta-myosin heavy chain (myh7)
Cumapped75,foxg1 disorder
Cumapped120,"lung damage, immunodeficiency and chromosome breakage syndrome"
Cumapped123,marfan syndrome/loeys-dietz syndrome/familial thoracic aortic aneurysms and dissections
Cumapped11,aneurysm-osteoarthritis syndrome
Cumapped52,"congenital adrenal insuffiency with 46, xy sex reversal or 46,xy disorder of sex development-adrenal insufficiency due to cyp11a1 deficiency"
